SampleID,treatment,replicate,bamReads,Peaks,PeakCaller
RESUB-YUMM4-1-IFN-alpha-03-19-23-JH-1,alpha,1,/n/data1/cores/bcbio/PIs/tobias_schatton/schatton_atacseq_hbc04813/final_bowtie2/final/alpha_1/alpha_1-NF.bam,/n/data1/cores/bcbio/PIs/tobias_schatton/schatton_atacseq_hbc04813/final_bowtie2/final/alpha_1/macs2/alpha_1-NF_peaks.narrowPeak,narrow
RESUB-YUMM-4-1-IFN-alpha-03-19-23-JH-2,alpha,2,/n/data1/cores/bcbio/PIs/tobias_schatton/schatton_atacseq_hbc04813/final_bowtie2/final/alpha_2/alpha_2-NF.bam,/n/data1/cores/bcbio/PIs/tobias_schatton/schatton_atacseq_hbc04813/final_bowtie2/final/alpha_2/macs2/alpha_2-NF_peaks.narrowPeak,narrow
RESUB-YUMM-4-1-IFN-beta-03-19-23-JH-1,beta,1,/n/data1/cores/bcbio/PIs/tobias_schatton/schatton_atacseq_hbc04813/final_bowtie2/final/beta_1/beta_1-NF.bam,/n/data1/cores/bcbio/PIs/tobias_schatton/schatton_atacseq_hbc04813/final_bowtie2/final/beta_1/macs2/beta_1-NF_peaks.narrowPeak,narrow
RESUB-YUMM-4-1-IFN-beta-03-19-23-JH-2,beta,2,/n/data1/cores/bcbio/PIs/tobias_schatton/schatton_atacseq_hbc04813/final_bowtie2/final/beta_2/beta_2-NF.bam,/n/data1/cores/bcbio/PIs/tobias_schatton/schatton_atacseq_hbc04813/final_bowtie2/final/beta_2/macs2/beta_2-NF_peaks.narrowPeak,narrow
BACKUP-YUMM-4-1-untreated-03-19-23-JH-1,untreated,1,/n/data1/cores/bcbio/PIs/tobias_schatton/schatton_atacseq_hbc04813/final_bowtie2/final/merge_and_split/final_files/untreated12_merged_file1_sorted.bam,/n/data1/cores/bcbio/PIs/tobias_schatton/schatton_atacseq_hbc04813/final_bowtie2/final/merge_and_split/final_files/untreated12_merged_file1_peaks.narrowPeak,narrow
RESUB-YUMM-4-1-untreated-03-19-23-JH-2,untreated,2,/n/data1/cores/bcbio/PIs/tobias_schatton/schatton_atacseq_hbc04813/final_bowtie2/final/merge_and_split/final_files/untreated12_merged_file2_sorted.bam,/n/data1/cores/bcbio/PIs/tobias_schatton/schatton_atacseq_hbc04813/final_bowtie2/final/merge_and_split/final_files/untreated12_merged_file2_peaks.narrowPeak,narrow
